難易度,問題番号,問題文,選択肢A,選択肢B,選択肢C,選択肢D,正解,解説
初級,1,"HAZETの創業国はどこの国ですか？","ドイツ","アメリカ","イギリス","スイス",A,"HAZETは1868年にドイツのレムシャイト（Remscheid）で設立された、歴史あるドイツのプレミアム工具メーカーです。"
初級,2,"HAZETというブランド名の由来は何ですか？","創業者のイニシャルの発音","ドイツ語で「高品質」を意味する言葉","創業地にあった山の名前","鋼鉄の特殊な配合名",A,"創業者ヘルマン・ツェルヴァー（Hermann Zerver）のイニシャルである「H」と「Z」のドイツ語発音「ハー（HA）」と「ツェット（ZET）」を組み合わせて「HAZET」となりました。"
初級,3,"HAZETが設立されたのは西暦何年ですか？","1868年","1905年","1954年","2006年",A,"HAZETは1868年にヘルマン・ツェルヴァーによって設立されました。150年以上の歴史を誇ります。"
初級,4,"HAZETの創業者である人物の名前は何ですか？","ヘルマン・ツェルヴァー","アルフレッド・ツェルヴァー","カール・ベンツ","フェルディナント・ポルシェ",A,"創業者はヘルマン・ツェルヴァー（Hermann Zerver）です。代々ツェルヴァー家によって経営が受け継がれています。"
初級,5,"HAZETの本社および主要工場があるドイツの都市はどこですか？","レムシャイト","ミュンヘン","フランクフルト","シュトゥットガルト",A,"HAZETの本社および第1・第3・第4工場は、ドイツの伝統的な刃物・工具の街であるレムシャイト（Remscheid）にあります。"
初級,6,"HAZETのコーポレートロゴ（ロゴマーク）の基調となる色はどれですか？","ブルー","レッド","グリーン","オレンジ",A,"HAZETのコーポレートカラーおよび現在のロゴマークは「ブルー（青）」と「ライトブルー（水色）」が基調となっています。"
初級,7,"HAZETが製造している主な製品カテゴリは何ですか？","ハンドツール（作業工具）","木工用接着剤","園芸用土壌","大型農業用トラクター",A,"HAZETはプロ用の自動車整備工具、ハンドツール、産業用トルクレンチ、ツールキャビネットなどを主力製品としています。"
初級,8,"ネジやボルトを規定の強さで締め付けるために使用する工具は何ですか？","トルクレンチ","ウォーターポンププライヤー","ニッパー","コンビネーションレンチ",A,"ボルトやナットをメーカー指定のトルク（強さ）で締め付けるには、トルクレンチを使用します。HAZETのトルクレンチは世界的に高い精度で知られています。"
初級,9,"HAZET工具の主材料として使われる、強靭な合金鋼は何ですか？","クロムバナジウム鋼","高速度工具鋼（ハイス）","ステンレス鋼（SUS304）","炭素鋼",A,"HAZETの多くのスパナやソケットには、高い強度と靱性を誇る高品質なクロムバナジウム鋼（Chrome-Vanadium steel）が使用されています。"
初級,10,"HAZETの代表的なツールキャビネット（工具ワゴン）に付けられている有名な愛称は何ですか？","Assistent","Master","SmartBox","helper",A,"HAZETのツールキャビネットや折りたたみ式ツールワゴンには、1954年の登場以来「Assistent（アシスタント）」という愛称が付けられています。"
初級,11,"ボルトを回す際、一方向のみに回転し、逆方向には空転する便利なラチェット機構を持つハンドルを何と呼びますか？","ラチェットハンドル","スピンナハンドル","T型スライドハンドル","L型レンチ",A,"ラチェットハンドル（Reversible Ratchet）は、作業を効率化するための代表的なソケット用ハンドルです。"
初級,12,"HAZETのダブルオープンエンドレンチ（両口スパナ）の基本型番は何ですか？","450N","600N","630","900",A,"HAZETの両口スパナの基本型番は「450N」です。スリムなスパナ部と強度を両立した伝統モデルです。"
初級,13,"HAZETのコンビネーションレンチ（片目片口スパナ）の基本型番は何ですか？","600N","450N","630","850",A,"HAZETのコンビネーションレンチの代表型番は「600N」です。スパナ部と15度オフセットのめがね部を組み合わせたベストセラーです。"
初級,14,"HAZETのダブルボックスエンドレンチ（両口めがねレンチ）の基本型番は何ですか？","630","600N","450N","880",A,"HAZETのディープオフセット両口めがねレンチの代表型番は「630」です。ボルト周辺に障害物がある際に重宝します。"
初級,15,"HAZETのソケットレンチセットなどで、差込角「1/2インチ（12.5mm）」を示す基本型番のシリーズ番号は何ですか？","900","850","880","1000",A,"1/2インチ（12.5mm）差込角のソケットおよびアクセサリーは、主に「900」シリーズの型番で分類されます。"
初級,16,"HAZETのソケットレンチセットなどで、差込角「1/4インチ（6.3mm）」を示す基本型番のシリーズ番号は何ですか？","850","900","880","1000",A,"1/4インチ（6.3mm）差込角のミニソケットやアクセサリーは、主に「850」シリーズの型番で分類されます。"
初級,17,"HAZETのソケットレンチセットなどで、差込角「3/8インチ（10mm）」を示す基本型番のシリーズ番号は何ですか？","880","900","850","1000",A,"3/8インチ（10mm）差込角のソケットおよびアクセサリーは、主に「880」シリーズの型番で分類されます。"
初級,18,"HAZETのソケットレンチセットなどで、大型トラック等に使われる差込角「3/4インチ（20mm）」を示す基本型番のシリーズ番号は何ですか？","1000","900","880","850",A,"3/4インチ（20mm）差込角の大型車・産業用ソケット類は、「1000」シリーズの型番で分類されます。"
初級,19,"HAZET製品が基本的に「Made in Germany（ドイツ製）」である割合はどれくらいですか？","圧倒的多数（75%以上）","ごく一部（10%以下）","半分程度（50%）","すべてアジア製",A,"HAZETは自社生産に強くこだわり、製品全体の75%以上がドイツ国内の自社工場で設計・製造されています。"
初級,20,"HAZETグループが展開している、リーズナブルでコストパフォーマンスに優れた第2の工具ブランド名は何ですか？","VIGOR","Koken","Stahlwille","Beta",A,"HAZETは2006年にセカンドブランドとして「VIGOR（ヴィガー）」を立ち上げ、より手頃な価格帯のプロ用工具を展開しています。"
初級,21,"工具の耐久性を高めるため、HAZETのスパナ類の多くに施されている表面処理は何ですか？","クロムメッキ","黒染め（酸化被膜）","塗装","ビニールコーティング",A,"防錆性と耐摩耗性を高めるため、HAZETの多くの金属製ハンドツールには高品質なクロムメッキ処理が施されています。"
初級,22,"HAZETのソケットやレンチの接触面で、ボルトの角ではなく「面」に力を伝えることで角潰れを防ぐ独自の技術・プロファイルの名前は何ですか？","Traction Profile","Hex Drive","Flank Grip","Surrounding Lock",A,"HAZET独自の「Traction Profile（トラクションプロファイル）」は、ボルトの角ではなく面で接触してトルクを伝達し、ボルト頭の摩耗を防ぎます。"
初級,23,"HAZETが1950年代に車載工具（ツールキット）を純正供給していた、有名なドイツの国民的乗用車は何ですか？","フォルクスワーゲン・ビートル","メルセデス・ベンツ・Sクラス","BMW・イセッタ","アウディ・クワトロ",A,"HAZETは1950年代、空冷フォルクスワーゲン・ビートル（VW Beetle）やポルシェ356のスペアタイヤ内にぴったり収まる車載ツールキットを純正供給していました。"
初級,24,"HAZETのラチェットハンドルで「HP」が付くシリーズ（例：916HP）は、何の略ですか？","High Performance","Hex Power","Hard Plated","Hermann Product",A,"「HP」は「High Performance（ハイパフォーマンス、HiPer）」を指し、細かい歯数と驚異的な耐久性を誇る高級ラチェットシリーズです。"
初級,25,"HAZETのトルクレンチで、設定トルクに達した際に発せられる主なシグナルは何ですか？","音（カチッという音）と手への感触","液晶画面の点滅のみ","警告音が鳴り続ける","自動で回転がロックするだけ",A,"HAZETのプレセット型トルクレンチは、設定トルクに達すると「カチッ」という音（アコースティック）と、カクッと抜けるクリック感（ハプティック）で知らせます。"
初級,26,"HAZETのドライバー製品「Trinamic」などのグリップ部分は、人間工学に基づいて何角形に近い断面形状になっていますか？","三角形状","完全な円形","四角形状","十角形状",A,"手の力を最も効率よく伝達するため、HAZETのドライバーグリップ（Trinamicシリーズなど）は、3本の指がフィットしやすい丸みを帯びた三角形（三角断面）になっています。"
初級,27,"HAZETの工場数は、本社工場を含めてドイツ国内に合計いくつありますか？","4つ","2つ","6つ","10以上",A,"HAZETはドイツ国内に4つの製造工場を擁しており、高度な品質管理体制を維持しています。"
初級,28,"磁気を利用してソケット類を一列に綺麗にホールドし、ツールワゴンなどに吸着できるHAZETの製品名は何ですか？","SmartRail","SmartCase","MagneticBar","SocketHolder",A,"ソケットをツイストロック式で保持し、背面が強力マグネットになっているソケットホルダーレールは「SmartRail（スマートレール）」と呼ばれます。"
初級,29,"布製ケースの軽さとハードケースの堅牢性を両立した、HAZETのコンパクトな折りたたみ式工具セットケースの名前は何ですか？","SmartCase","SmartRail","SoftBox","PocketKit",A,"ビットやソケットを効率的かつコンパクトに収納し、スタンドのようにも立てられる収納ケースは「SmartCase（スマートケース）」です。"
初級,30,"HAZETのラチェットハンドルの切替レバーや回転方向を変更する機構の主な目的は何ですか？","ボルトを締める方向と緩める方向を切り替えるため","ラチェットのギヤ歯数を切り替えるため","持ち手の長さを変更するため","ラチェットをロックしてただのTバーにするため",A,"切替レバーやつまみを操作することで、ボルトの「締め方向（時計回り）」と「緩め方向（反時計回り）」のラチェット駆動方向を切り替えます。"
初級,31,"HAZETが設立された「1868年」は、日本でいうと何が始まった年ですか？","明治時代","大正時代","江戸時代","昭和時代",A,"1868年は日本における「明治元年」にあたります。HAZETは日本の明治維新と同じ時期から工具を作っています。"
初級,32,"HAZETのツールキャビネット「179N」シリーズなどの最下部にある、移動を支える重要な部品は何ですか？","高性能キャスター（車輪）","固定用スタンド","アジャスターボルト","マグネット吸着パッド",A,"ツールキャビネットのスムーズな移動と耐荷重を支えるため、HAZET製品には弾性に優れ、ロック機構を備えた高品質なキャスターが装着されています。"
初級,33,"HAZETの「Assistent 166N」ツールワゴンの最大の特徴は何ですか？","支柱を折りたたんでコンパクトに収納できる","電動モーターで自走する","ソーラーパネルでスマートフォンを充電できる","木製でアンティーク調である",A,"「Assistent 166N」は、トレイと支柱を下げて全高500mmまでコンパクトに折りたためる、持ち運びに非常に便利なツールワゴンです。"
初級,34,"HAZETのコンビネーションレンチ「600N」の柄（シャンク）部分は、軽量化と剛性を両立するため、どのような断面形状をしていますか？","Double-T（H型）プロファイル","完全な中空のパイプ型","フラットな薄い板型","ねじられたスパイラル型",A,"600Nの柄の断面は、凹みを持たせた「Double-T（I字・H字型）プロファイル」になっており、握りやすく軽量ながら高い曲げ剛性を備えています。"
初級,35,"HAZETのウォーターポンププライヤー（760または762シリーズなど）の主な用途は何ですか？","配管や丸いワーク、ナットなどの強力な掴み作業","細い針金の切断専用","ボルトの規定トルク締め付け","精密な電気基板のハンダ付け",A,"HAZETの代表的なウォーターポンププライヤーである760や762シリーズは、配管や丸棒、ボルト・ナットなど様々な形状のワークを掴んで回すための万能プライヤーです。"
初級,36,"HAZETのニッパー（品番1802シリーズなど）の主な役割は何ですか？","針金やケーブルなどの配線を切断する","ネジ頭を錆び落としする","ソケットを延長する","トルク値を測定する",A,"強力ニッパー（Diagonal Cutters）は、硬いワイヤーやケーブルなどを刃先で強力かつ綺麗に切断するための工具です。"
初級,37,"HAZETのラジオペンチ（品番1841シリーズなど）の先端はどのような形状をしていますか？","細長く、細かい隙間に入りやすい形状","平らで非常に幅が広い形状","完全に丸い球状","ソケットを直接差し込める四角形状",A,"ラジオペンチ（Needle Nose Pliers）は、先細りのデザインになっており、狭い場所での細かい部品の掴みや曲げ作業に適しています。"
初級,38,"HAZETの工具が提供する「プロ品質」を最も象徴するユーザー層は誰ですか？","自動車整備士や産業メンテナンスのプロフェッショナル","一般的な家庭のペーパークラフト愛好家","ガーデニング専門の農家","オフィスワークの事務員",A,"HAZETは、自動車メーカーの整備工場や、航空機・鉄道などの高度なメンテナンス要求を持つプロフェッショナルから圧倒的な信頼を得ています。"
初級,39,"HAZETのビットソケット（先端がドライバービットになっているソケット）の利点は何ですか？","ラチェットハンドル等と組み合わせて、ネジを強力に回せる","ハンマーで叩く専用のタガネになる","ソケットの中にネジを隠して保管できる","磁石の力で壁に貼り付けられる",A,"ビットソケットを使用すると、ラチェットハンドルやT型ハンドルの高いトルク伝達力を利用して、ヘックスやトルクスなどのネジを迅速に回すことができます。"
初級,40,"HAZETのツールキャビネットが倒れないよう、同時に2つ以上の引き出しを開けられないようにする安全機能の名前は何ですか？","ワン・ドロワー・システム（相互ロック）","セーフティキー","オートクローズシステム","アンチスリップマット",A,"複数の引き出しを同時に開けると重心が前に移動してキャビネットが転倒する危険があります。それを防ぐため、1つの引き出しを開けている間は他の引き出しがロックされる機能（相互ロック）が備わっています。"
初級,41,"差込角1/2インチ（12.5mm）を指す「1/2」とは、どこの国の単位系に由来していますか？","インチ（ヤード・ポンド法）","メートル（メートル法）","尺（尺貫法）","海里（航海マイル）",A,"ソケット等の差込角規格に使われる「1/2」「3/8」「1/4」などは、アメリカやイギリスで広く使われていたヤード・ポンド法の「インチ（1インチ＝25.4mm）」に由来します。"
初級,42,"HAZETのソケット等で、差し込み部に設けられている、脱落を防ぐための凹みの部分を何と呼びますか？","ボールロック用溝（リテイニング溝）","磁気吸着スロット","ローレット加工","六角逃がし",A,"ラチェットやエクステンションバー側のスチールボールがはまり込み、ソケットが不意に抜けて落ちるのを防ぐために、ソケットの四角の差込内面にはボールロック用の凹み（溝）が設けられています。"
初級,43,"HAZETのラチェットハンドル「916」シリーズなどのヘッドの厚みを極限まで薄くする目的は何ですか？","エンジンの隙間などの狭い場所へアクセスしやすくするため","使用する金属の量を減らしてコストカットするため","わざと強度を落として壊れやすくするため","単に見た目のスマートさをアピールするため",A,"近年の自動車エンジンルームなどは非常に狭いため、ラチェットのヘッドをスリム・薄型に設計することで、狭所作業のアクセス性を大幅に向上させています。"
初級,44,"HAZETの日本語公式ホームページや国内代理店の情報などを検索する際、日本語では一般的にどのようにカタカナ表記されますか？","ハゼット","ハゼト","ハツェット","ハゼットウェルク",A,"日本では「ハゼット」というカナ表記が最も一般的で、プロの整備士やファンの間で広く定着しています。"
初級,45,"HAZETのロゴマークの歴史で、1930年代（1933年カタログ等）から一貫して使用されているクラシックなサブカラーは何ですか？","イエロー（黄色）","レッド（赤）","グリーン（緑）","ホワイト（白）",A,"1930年代のHAZETのカタログや看板には、トレードマークとして青と「黄色（イエロー）」の配色が採用されており、伝統的なビジュアルIDの一部となっています。"
初級,46,"HAZETのラチェットなどのリペアキット（修復用インナーパーツセット）は、ユーザー自身が分解して交換可能ですか？","はい、主要製品向けにギヤ、爪、バネ、カバーがセットになったリペアキットが公式販売されている","いいえ、ラチェットヘッドは溶接で密閉されており、分解すると二度と組み立てられない","いいえ、リペアは必ずドイツの本社工場に船便で送らなければ受付不可である","はい、ただし内部は紙のバネでできており、交換には専門の木工用接着剤が必要である",A,"HAZETは「一生モノの工具」として長く使えるよう、ヘッド内部の消耗パーツ（ギヤ、爪、バネ等）をパックにしたリペアキット（補修部品）を公式に販売しており、ユーザーが自分でメンテナンスできるよう設計されています。"
初級,47,"ネジを締め付ける際、プラスドライバーとマイナスドライバーのどちらが十字形の頭部に対応していますか？","プラスドライバー","マイナスドライバー","どちらでもない","両方同じ",A,"十字型の溝があるネジには「プラスドライバー（フィリップス型など）」を使用します。HAZETでも様々なサイズのプラスドライバーやビットがラインナップされています。"
初級,48,"HAZETのコンビネーションレンチ「600N」の片側に付いている、ボルトを素早く仮締めするための口がオープンになっている部分を何と呼びますか？","スパナ部（オープンエンド）","めがね部（ボックスエンド）","ラチェット部","グリップ部",A,"コンビネーションレンチのオープンになっている側は「スパナ部（オープンエンド）」と呼ばれ、障害物がある場所での素早い仮締め等に適しています。"
初級,49,"工具を使って作業をする際、安全のために着用することが推奨される、手を保護するための防護具は何ですか？","作業用手袋（グローブ）","安全メガネ","安全靴","ヘルメット",A,"工具の鋭いエッジやボルトのバリから手を守るため、作業時は適切な「作業用手袋（グローブ）」の着用が推奨されます。"
初級,50,"HAZETのツールキャビネットやワゴンを移動させる際、キャビネットを安全に押したり引いたりするために側面に設置されている金属製またはプラスチック製の部品は何ですか？","移動用ハンドル（取っ手）","キャスターブレーキ","サイドパネル","引き出しラッチ",A,"ツールキャビネットの側面には、安全かつスムーズに移動操作ができるよう、頑丈な「ハンドル（取っ手）」が標準装備されています。"
中級,1,"HAZETの代表的なコンビネーションレンチ「600N」のめがね部分は、何度の角度でオフセット（曲げ）されていますか？","15度","30度","45度","75度",A,"600Nレンチのめがね部分は15度傾いており、平面上で作業する際に手が干渉しないように設計されています。"
中級,2,"HAZETの「600N」コンビネーションレンチのスパナ部は、柄に対して何度傾いていますか？","15度","0度","30度","45度",A,"コンビネーションレンチ「600N」のスパナ部も、めがね部同様に15度傾いて設計されており、狭い場所での繰り返し作業でレンチを裏返して使う際に有効な角度です。"
中級,3,"HAZETの工場「Plant 2（第2工場）」があるドイツの町はどこですか？","ハインスベルク","レムシャイト","デュッセルドルフ","ケルン",A,"HAZETの第2工場は、レムシャイトから車で約1時間離れたハインスベルク（Heinsberg）にあり、最先端の溶接・塗装技術や物流センターを有しています。"
中級,4,"HAZETの「Plant 3（第3工場）」で主に生産されている、同社の看板製品は何ですか？","ツールキャビネット・ツールワゴン","プライヤー（ペンチ類）","スパナ・めがねレンチ","ドライバービット",A,"レムシャイトの産業エリアにある第3工場は、ツールワゴン（Assistentシリーズなど）やキャビネット等の板金・溶接製品の専用製造工場となっています。"
中級,5,"HAZETを代表するプレセット型トルクレンチ「SYSTEM 5000-3CT」シリーズの締め付け測定精度許容差はどれくらいですか？","±3%","±1%","±5%","±10%",A,"5000-3CTシリーズは、右締め方向において目盛値の「±3%」という高精度なトルク測定許容値を保証しています。"
中級,6,"HAZETのハイエンド仕様のトルクレンチ「SYSTEM 6000-1CT」シリーズの締め付け測定精度許容差は原則としてどれくらいですか？","±2%","±4%","±1%","±5%",A,"6000-1CTシリーズは、DIN EN ISO 6789の基準に準拠し、極めて高い測定精度である「±2%（一部大型モデル除く）」を実現しています。"
中級,7,"HAZETの高性能ラチェット「HiPer（ハイパー）」シリーズ（例：916HP）の内部ギヤの歯数はいくつですか？","90枚","32枚","72枚","120枚",A,"HiPerラチェットシリーズは、極小ヘッドの中に「90枚ギヤ」を内蔵しており、細かい送り角で作業が可能です。"
中級,8,"歯数が90枚あるHAZETの「HiPer」ラチェットの、1クリックあたりの送り角（動作角度）は何度ですか？","4度","5度","3度","11.25度",A,"360度を90分割するため、送り角は「4度」となります。これにより、エンジンルームなどの超狭所でも確実にネジを回せます。"
中級,9,"HAZETのロングセラー1/2インチ標準ラチェット「916SP」のギヤ歯数はいくつですか？","32枚","20枚","72枚","90枚",A,"伝統的な「916SP」は頑強な「32枚ギヤ」を採用しています。歯が粗い分、1つ1つのギヤの肉厚があり、高い耐久性を持ちます。"
中級,10,"HAZETの最もスタンダードな1/4インチミニラチェット「863P」のギヤ歯数はいくつですか？","20枚","32枚","60枚","90枚",A,"昔ながらの1/4ラチェット「863P」は、非常にシンプルな「20枚ギヤ」設計で、故障しにくく長寿命なのが特徴です。"
中級,11,"ギヤ歯数が32枚である1/2インチラチェット「916SP」の送り角は何度ですか？","11.25度","18度","5度","15度",A,"360度を32分割するため、送り角は「11.25度」になります。"
中級,12,"ギヤ歯数が20枚である1/4インチミニラチェット「863P」の送り角は何度ですか？","18度","11.25度","20度","15度",A,"360度を20分割するため、送り角は「18度」になります。"
中級,13,"1950年代の空冷VWビートルなどのスペアタイヤに収納できた、コレクターに大人気の丸型工具箱の通称は何ですか？","Roundbox（またはTourist）","SpareTray","TireCase","BeetleDisk",A,"スペアタイヤのハブ部分の凹みにすっぽり収まるスチール製の丸型ケースは、コレクターの間で「Roundbox（ラウンドボックス）」や「Tourist（ツーリスト）工具セット」と呼ばれています。"
中級,14,"1950年代の丸型工具箱（Roundbox）で、1965年より前の製造工具であることを見分けるロゴの特徴は何ですか？","小文字の「azet」表記ロゴ","大文字の「HAZET」表記ロゴ","王冠マークの刻印","ロゴが一切入っていない",A,"1965年以前の古いHAZET工具には、小文字をベースにした「azet」ロゴが刻印されており、ヴィンテージ品を見分ける手がかりになります。"
中級,15,"1950年代半ば以降のビートル用丸型工具箱で、工具のガタつきを防ぐために内面に施されたスプレー塗装の質感は何ですか？","フロッキング（起毛仕上げ）","鏡面研磨仕上げ","ラバーコーティング","梨地仕上げ",A,"中期のラウンドボックスから、スプレーで繊維粉末を吹き付けてフェルトのようなフワフワした質感にする「フロッキング（Flocking）」加工が施され、工具が傷つくのを防いでいました。"
中級,16,"現在も生産されている、HAZETの折りたたみ式（伸縮式）キャビネットの代表型番は何ですか？","166N","179N","180","178N",A,"初代のギミックを受け継ぎ、現代でも販売されているフォールディング・ツールワゴンは「Assistent 166N」です。"
中級,17,"「SmartRail」で採用されている、ソケットを差し込んで軽く回すだけでロック・解除ができる機構の名前は何ですか？","ツイストロック（Twist-to-lock）","ボールスナップ","マグネット吸着","スライドキャッチ",A,"SmartRailは「ツイストロック」式を採用しており、ソケットを少し回転させて固定するため、逆さに吊るしても外れません。"
中級,18,"「SmartCase」の開閉カバー部分で、機械的なラッチではなく、磨耗に強い何を使って固定していますか？","マグネット（磁石）","マジックテープ","ジッパー（ファスナー）","金属スナップ",A,"SmartCaseはケースの開閉部分に「マグネットファスナー」を採用しており、ワンタッチで摩耗なくスムーズに開閉できます。"
中級,19,"HAZETの1/4インチ差込角のプレセット型トルクレンチ「5108-3CT」のトルク測定範囲はどれくらいですか？","2.5 – 25 Nm","1 – 9 Nm","10 – 60 Nm","40 – 200 Nm",A,"「5108-3CT」は、自転車やオートバイの小径ボルト、エンジン周辺のカバー類の締付に適した「2.5 – 25 Nm」の範囲を持ちます。"
中級,20,"HAZETの3/8インチ差込角のプレセット型トルクレンチ「5110-3CT」のトルク測定範囲はどれくらいですか？","10 – 60 Nm","2.5 – 25 Nm","40 – 200 Nm","60 – 320 Nm",A,"「5110-3CT」は、中細ボルトの締付に最適な「10 – 60 Nm」の測定範囲を持つ3/8サイズ定番のトルクレンチです。"
中級,21,"HAZETの1/2インチ差込角のプレセット型トルクレンチ「5122-3CT」のトルク測定範囲はどれくらいですか？","40 – 200 Nm","10 – 60 Nm","60 – 320 Nm","300 – 800 Nm",A,"「5122-3CT」は、乗用車のホイールナットの締め付け（約100〜120Nm）に最適な「40 – 200 Nm」をカバーする最も人気のモデルです。"
中級,22,"HAZETの大型3/4インチ差込角トルクレンチ「5145-3CT」のトルク測定範囲はどれくらいですか？","300 – 800 Nm","40 – 200 Nm","60 – 320 Nm","100 – 400 Nm",A,"トラックや建設機械、大型産業機械の締付作業に用いられる「5145-3CT」は、「300 – 800 Nm」の巨大なトルクレンジに対応します。"
中級,23,"HAZETの超大型トルクレンチ「5145-3CT」の本体重量は約何kgありますか？","約 6.7 kg","約 2.5 kg","約 12.0 kg","約 4.5 kg",A,"800Nmの締付に対応するため、非常に肉厚で頑強な構造になっており、本体重量は「6.7kg」に達します。"
中級,24,"HAZETのトルクレンチ「5145-3CT」の全長はどれくらいですか？","1271 mm（約1.27メートル）","750 mm","980 mm","1500 mm",A,"大トルクを人の力で安全に導入するため、レバー比を稼ぐ長いシャフトが採用されており、全長は「1271mm」あります。"
中級,25,"HAZETの最も代表的な1/2インチソケットレンチセット（スチール箱入りなど）の型番は何ですか？","900シリーズ","850シリーズ","880シリーズ","1000シリーズ",A,"「900」は差込角1/2インチ（12.5mm）を意味し、多くのプロ整備士に愛用されているHAZETの超定番ソケットセットの型番です。"
中級,26,"HAZETの両口スパナ「450N」のヘッド部分は、使用時の応力を分散し、より大きなトルクに耐えられるよう、どのような厚みの設計になっていますか？","中央部が膨らみ、端に向かって薄くなるスリムデザイン","均一な一定の平坦な厚み","プラスチックの補強材をかぶせた肉厚デザイン","ヘッドのみ極端に厚くした四角いブロック形状",A,"450Nスパナのヘッド部は、スリムで狭所に入りやすい形状でありながら、最も負荷がかかる根元に向けて肉厚を持たせる美しい応力分散設計になっています。"
中級,27,"HAZETの「600N」コンビネーションレンチが、他社の一般的なレンチに比べて全長がやや長めに設計されている主な理由は何ですか？","少ない力（軽いテコ）で大きな締付トルクをかけるため","単に材料の余りを使用しているため","障害物を飛び越える目的のためだけ","ドイツ人の平均身長が高いため",A,"全長を長くすることで、テコの原理（モーメント）により、作業者が小さな力で確実な締め付けや緩め作業を行えるように設計されています。"
中級,28,"HAZETの「630」両口めがねレンチの立ち上がり（曲がり）形状の特徴は何ですか？","45度などのディープオフセット（深い曲がり）","完全にストレート（平ら）","75度の鋭角な直角曲がり","S字型にゆるやかに蛇行した形状",A,"「630」シリーズはディープオフセット形状になっており、奥まった位置にあるボルトや、ナットの周りの障害物を避けて確実なアクセスを可能にします。"
中級,29,"HAZETのコンビネーションレンチ「600N」の柄にデザインされている「Double-T profile」のメリットは何ですか？","強度の向上と軽量化、および手にフィットする滑り止め効果","ソケットを一時的に磁気で貼り付けるため","ボルトのネジ山を修正するため","レンチの重心を完全に先端に寄せるため",A,"Double-Tプロファイル（H型断面）は、構造工学的に最大の強度重量比を提供するとともに、指をかける凹みとなり、泥やオイルが付いた手でも滑りにくい握りやすさを実現しています。"
中級,30,"「Traction Profile（トラクションプロファイル）」のソケットやレンチがボルトの頭に当たる際、力の伝達点はどこに設定されていますか？","ボルト頭のフラットな側面（面）の中央付近","ボルト頭の鋭いカド（角）の先端","ボルト頭の最上部の平面部分","ボルト頭のネジ山の谷底",A,"Traction Profileは角に触れず、ボルトの「面（flank）」に面接触して均等に力をかけるため、ボルトを全く痛めずに高いトルクをかけられます。"
中級,31,"HAZETのドライバー「Trinamic」などで採用されているグリップの材質的な特徴は何ですか？","滑りにくいソフトな樹脂と、頑丈なハードコアの多重コンポーネント樹脂","天然木を切り出して磨き上げたオイル仕上げ","冷たいスチールの一体成型（メッキ仕上げ）","すべて軽量で壊れやすい発泡スチロール",A,"HAZETの高品質ドライバーは、手のひらに馴染んで滑りにくいソフトなエラストマー樹脂と、強度を担保する高強度のプラスチックコアを組み合わせたマルチコンポーネント構造です。"
中級,32,"HAZETのツールキャビネットや折りたたみワゴンなどで、トレイが移動時に不用意に飛び出さないようにする対策はどれですか？","キャビネット個々の引き出しにセルフクローズおよびロック機構がある","引き出し全体をガムテープで固定する","引き出し全体が常に手前に傾いている設計","トレイが絶対に引き出せない固定式である",A,"HAZETのキャビネットは、軽く押すだけで最後まで引き込まれて固定されるセルフクローズ機構や、ラッチによる各段ごとの簡易ロックが備わっており、移動時の飛び出しを防ぎます。"
