難易度,問題番号,問題文,選択肢A,選択肢B,選択肢C,選択肢D,正解,解説
中級,33,"HAZETの「Plant 1（第1工場）」が担っている、同社工具の基幹製造工程は何ですか？","鍛造、機械加工、熱処理","キャビネット用の板金と静電塗装","プラスチック樹脂の成型とパッケージング","配送と全世界への物流",A,"第1工場はHAZETの心臓部であり、最も過酷な負荷に耐える工具の強度を生み出すための「鍛造（ハイドロプレス等）」「切削機械加工」「熱処理（焼き入れ・焼き戻し）」を集中的に行っています。"
中級,34,"HAZETの工場「Plant 4（第4工場）」の役割で正しいものはどれですか？","最新のCNC切削加工などの高度な部品製造を行う工場","製品のカタログを印刷する印刷専門工場","VIGORブランドの工具だけを作る専用工場","工具の展示会と実演を行うだけのデモ施設",A,"レムシャイトにある第4工場は、最新の精密CNC加工機やマシニングセンタが並ぶ高度な自動機械加工拠点として機能しています。"
中級,35,"ソケットを保持する「SmartRail」のベースはどのような吸着手段を持っていますか？","超強力マグネット（磁石）","強力な両面テープ","ネジ留め専用の穴のみ","真空吸着盤（吸盤）",A,"SmartRailの背面全体には超強力なマグネットが仕込まれており、スチール製のツールワゴンや工場の機械の壁面などにガッチリ固定できます。"
中級,36,"HAZETの「SmartCase」に使われているケース外装素材のハイブリッド構造とは何ですか？","繊維テキスタイルの軽さと、ハードシェルプラスチックの強度","本革とチタン金属の溶接","木材とカーボンファイバーの接着","段ボールと発泡スチロール",A,"SmartCaseは、表面には軽くて汚れを落としやすいタフな繊維テキスタイル（布）を採用し、インナーやヒンジなどの骨格部分には頑強な硬質プラスチックを組み合わせたハイブリッド設計です。"
中級,37,"VIGOR（ヴィガー）のロゴマークデザインにおいて、文字のアクセントとして使われている象徴的な色はどれですか？","レッド（赤）","イエロー（黄）","ブルー（青）","グリーン（緑）",A,"VIGORブランドのロゴやパッケージには「レッド（赤）」がアクセントカラーとして採用されており、HAZETのブルーと差別化されています。"
中級,38,"HAZETの「Traction Profile」を採用した12角（ダブルヘックス）ソケットで回せるネジの頭部はどれですか？","六角ボルトおよび十二角ボルト","マイナスネジのみ","プラスネジのみ","T型トルクスネジ専用",A,"Traction Profileの12角ソケットは、一般的な「六角ボルト・ナット」を回せるだけでなく、「12角（ダブルヘックス）ボルト」の締付にも使用できます。"
中級,39,"工具素材の品質を担保するため、HAZETが使用している特殊な鋼鉄は、主にどこの国の製鉄所から供給されていますか？","ドイツを中心とするヨーロッパの一流製鉄所","アジアの安価な輸入鋼鉄所","アフリカの原料炭鉱山直営製鉄所","アメリカの再生リサイクル鉄専用所",A,"工具の命である「安定した硬度と靭性」を守るため、HAZETは厳格な仕様に基づいて精錬されたドイツ国内および欧州の上質な合金鋼を厳選して仕入れています。"
中級,40,"HAZETの工場があるドイツのレムシャイトは、古くから何の製造業が盛んな地域として世界的に有名ですか？","刃物・工具などの鉄鋼金属加工業","ビールなどのアルコール醸造業","電子半導体やコンピュータ産業","繊維製品や服飾デザイン",A,"レムシャイトはゾーリンゲンなどと並び、豊富な水源と森林資源（木炭）を利用した刃物や金属工具の鍛造業が何百年も前から栄えている伝統の街です。"
中級,41,"HAZETのプライヤー「1802」シリーズの強力ニッパーは、刃の硬度を高めるためにどのような特殊処理が追加で施されていますか？","高周波（インダクション）焼き入れ","金メッキ処理","ダイヤモンド粉末の塗布","フッ素コーティング",A,"ピアノ線や硬線を何度も楽に切断できるよう、1802シリーズの切断刃先部分には「高周波焼き入れ（Induction Hardening）」が個別に追加され、極めて高い硬度を持たせています。"
中級,42,"HAZETのラジオペンチ「1841」シリーズの掴み面にある、部品が滑り落ちるのを防ぐ凹凸加工は何と呼ばれますか？","セレーション（ギザギザ加工）","ローレット加工","スリック仕上げ","ノッチ加工",A,"ラジオペンチの掴み内面には、細かい溝が刻まれた「セレーション（Serrated jaws）」加工が施されており、小さなワッシャーや細い線を滑らずに保持できます。"
中級,43,"HAZETのソケットなどで、オイルがついた手で回す際に滑りにくくするために外周に施されている帯状のローレット加工（滑り止めギザギザ）はどこに配置されていますか？","ソケットのベース側の外周円周部","差込口の四角い穴の内部","ボルトがはまる六角穴の奥","ソケットの先端の刃先部分",A,"手回し時にソケットが滑るのを防ぐため、多くのソケットの下部外周に帯状の「ローレット（Knurling）」ギザギザが配置されています。"
中級,44,"HAZETのクイックリリース式エクステンションバー（型番918シリーズ等）の先端にある、ソケットのロックとロック解除を瞬時に行う機構の名称は何ですか？","セーフティロック（SmartLockなど）","スナップオン式ピン","スライドスリーブ","ねじ込み式コレット",A,"ソケットを装着すると自動で固定され、リング状のスリーブを指先でスライドさせるだけでロックが解除される便利な「セーフティ接続機構」です。"
中級,45,"HAZETの公式ホームページのドメイン（英語サイト）のURLは、次のうちどれですか？","https://www.hazet.de/en/","https://www.hazet.com/","https://www.hazet.co.jp/","https://www.hazet-tools.de/",A,"HAZETのグローバル公式ウェブサイトは「https://www.hazet.de/en/」です。末尾の「.de」はドイツの国別コードを示しています。"
中級,46,"HAZETのロゴに描かれている水平線のデザインは、創業当時の製品にスタンプとして押されていた何に由来していますか？","創業初期の刻印ポンチマークやスタンプの意匠","ドイツを横断するライン川の流れ","水平器の気泡位置","工場の屋根の形",A,"文字の中央を通る水平線のデザインは、19世紀から20世紀初頭にかけての創業初期の金属用スタンプ・マーキング刻印の意匠が洗練されて残ったものです。"
中級,47,"HAZETのフラッグシップ1/2インチラチェット「916HP」のギヤ歯数は正確にいくつですか？","90枚","72枚","120枚","32枚",A,"「916HP」は、超高負荷に耐える極薄の精密ヘッドでありながら、正確に「90枚ギヤ」を配置しています。"
中級,48,"HAZETの1/4インチ差込トルクレンチ「5107-3CT」のトルク測定レンジは正確にどれくらいですか？","1 – 9 Nm","2.5 – 25 Nm","0.5 – 5 Nm","5 – 50 Nm",A,"「5107-3CT」は、非常に微小なトルク管理（小径プラスチックネジや電子機器、精密ガスケット）のための「1 – 9 Nm」レンジの製品です。"
中級,49,"HAZETの1/4インチ（6.3mm）ドライブ仕様の「HiPer」ラチェットハンドル「863HP」のギヤ歯数は何枚ですか？","90枚","72枚","120枚","20枚",A,"1/4インチミニサイズである「863HP」も、1/2サイズと同様に超精密ギヤを極小ヘッド内に喜び組み立てた「90枚ギヤ」仕様となっています。"
中級,50,"HAZET의 3/8インチ（10mm）ドライブ仕様の「HiPer」ラチェットハンドル「8816HP」のギヤ歯数は何枚ですか？","90枚","72枚","120枚","30枚",A,"中型サイズである3/8インチ用の「8816HP」も、他のHiPerシリーズと共通の「90枚ギヤ（送り角4度）」を搭載しています。"
上級,1,"現在のHAZETは創業家から数えて何世代目のファミリーによって経営されていますか？","5世代目","2世代目","3世代目","10世代目",A,"HAZETは現在、創業者ヘルマン・ツェルヴァーの血を引く第5世代目のファミリーによって所有・経営されている家族企業です。"
上級,2,"HAZETを象徴するモバイルツールカート「Assistent」が初めて発表されたのは西暦何年ですか？","1954年","1868年","1930年","1972年",A,"画期的な折りたたみ式の移動ツールワゴンである「Assistent」（160型および162型）は、1954年に初めてリリースされました。"
上級,3,"初代「Assistent」ツールワゴンを考案・開発した人物は誰ですか？","アルフレッド・ツェルヴァー","ヘルマン・ツェルヴァー","フェルディナント・ポルシェ","ハンス・ツェルヴァー",A,"折りたたみ式で使い勝手に優れた初代「Assistent」ツールキャビネットは、当時の経営陣であるアルフレッド・ツェルヴァー（Alfred Zerver）によって開発されました。"
上級,4,"HAZETの「Assistent 166N」を完全に折りたたんだ時の高さ（全高）はどれくらいですか？","500 mm","300 mm","750 mm","950 mm",A,"166Nは支柱を下げることで全高「500mm」まで縮めることができ、車のトランクなどにも容易に積載できます。"
上級,5,"HAZETのコンビネーションレンチ「600N」がクリアしている世界的な規格規格はどれですか？","DIN 3113 Form A / ISO 3318 / ISO 7738","JIS B 4651","ANSI B107.6","ISO 9001",A,"600Nはドイツ工業規格の「DIN 3113 Form A」および国際規格の「ISO 3318」「ISO 7738」を満たしており、欧州の厳しい産業基準に適合しています。"
上級,6,"HAZETのコンビネーションレンチ「600N」の設計基準となっているドイツ工業規格（DIN）の番号は何番ですか？","DIN 3113","DIN 3120","DIN 3124","DIN 6789",A,"「DIN 3113」は、コンビネーションレンチ（Form AやForm Bなど）の形状、寸法、強度要件を規定するドイツの代表的な国家工業規格です。"
上級,7,"超微小トルク用のトルクレンチ「5107-3CT」の測定精度許容差は、他の5000-3CTシリーズとは異なり何パーセントですか？","±4%","±3%","±2%","±5%",A,"超低トルク管理用モデルである「5107-3CT」のみ、高精度測定の難易度が高いため、精度保証は「±4%」となっています（他の標準サイズは±3%）。"
上級,8,"HAZETの3/4インチドライブの巨大トルクレンチ「5145-3CT」のギヤ歯数はいくつですか？","32枚","90枚","24枚","60枚",A,"800Nmの凶悪な大トルク締め付けに対応するため、ギヤの一つ一つを最大級に肉厚にした、極めて屈強な「32枚ギヤ」が採用されています。"
上級,9,"HAZETの「5145-3CT」トルクレンチの送り角度は何度ですか？","11.25度","15度","18度","6度",A,"360度を32分割するため、送り角度は正確に「11.25度」となります。"
上級,10,"メルセデス・ベンツやBMW、ポルシェなどの自動車整備で広く使われている、HAZETの定番オイルフィルター/スパークプラグ用12角カップ型レンチの代表品番は何ですか？","2169","2588","196","4900",A,"カップ型オイルフィルターレンチやプラグ用レンチとして、輸入車整備で絶大な知名度を誇る代表品番が「2169」シリーズです。"
上級,11,"HAZETの4つの工場のうち、唯一「レムシャイト」市外のハインスベルクにある工場は何番目の工場ですか？","Plant 2（第2工場）","Plant 1（第1工場）","Plant 3（第3工場）","Plant 4（第4工場）",A,"ハインスベルクにあるのは「第2工場」です。他の第1、第3、第4工場はすべてレムシャイト市内に配置されています。"
上級,12,"HAZETの「Plant 3（第3工場）」は、何の製品の製造のために専用の近代的な静電粉体塗装システムを備えていますか？","ツールキャビネット（Assistentシリーズなど）","スパナ・レンチ類のメッキ処理","プライヤーのソフトグリップ被膜","ビットソケット用ケースの塗装",A,"第3工場はツールキャビネット専用の板金・溶接工場であり、頑丈で傷に強い仕上がりを実現するため、自動化された高度な「静電粉体塗装（Powder Coating）」ラインを備えています。"
上級,13,"HAZETの折りたたみ式ツールワゴン「Assistent 166N」の最大総耐荷重は合計何kgですか？","300 kg","150 kg","250 kg","500 kg",A,"166Nは、頑丈なスチール製コラムとトレイにより、コンパクトながら最大「250kg」の総荷重に耐えることができます（一部カタログ仕様では300kgと記載されることもありますが、一般的なメーカー標準値は250〜300kgです）。"
上級,14,"1950年代初期（1950〜1953年頃）のフォルクスワーゲン・ビートル用車載工具箱（Roundbox）が適合するように設計されていた、スペアホイールのサイズは何インチですか？","16インチ","15インチ","14インチ","17インチ",A,"初期のビートルは「16インチ」スチールホイールを採用していたため、初代Roundboxは16インチのホイールハブに適合する固定ブラケットが背面に付いていました。"
上級,15,"ビートルのスペアタイヤ径が「15インチ」に変更された際、HAZETの丸型工具箱（Roundbox）はどのように改良されましたか？","背面マウントをフルサークル型からハーフサークル型に変更した","ケース自体の直径を2センチ縮めた","プラスチック製に材質を変更した","取っ手を取り付けて外にぶら下げるようにした",A,"15インチホイールへの変更に伴うホイールハブ裏側の干渉を避けるため、背面の取り付け金属ブラケットの形状が「フルサークル（真円）」から「ハーフサークル（半円）」へと変更されました。"
上級,16,"1950年代のビートル用車載工具箱「Roundbox」に、ジェネレーターナットの変更に合わせて追加された、特徴的な両口めがねレンチのサイズは何mmですか？","36mm × 21mm","36mm × 22mm","32mm × 19mm","41mm × 24mm",A,"1956年頃、ジェネレーターナットのサイズ変更や作業性の向上のため、それまでの「36mm片口レンチ」に代わり「36mm × 21mmの両口めがねレンチ」が追加されました。"
上級,17,"1950年代初期（c. 1950）の最古のビートル用車載工具箱の内部で、工具の敷き物（ベースパッド）として使われていた素材は何ですか？","フェルトのパッド","プラスチックトレイ","スポンジゴム","フロッキング（起毛吹付）",A,"中期のフロッキング加工が導入されるより前の最古期（1950〜1953年頃）のツールセットには、厚手の「フェルト（Felt）パッド」が底面敷物として敷かれていました。"
上級,18,"3/8インチ「HiPer」ラチェット「8816HP」の作動送り角度は何度ですか？","4度","5度","3度","12度",A,"歯数が90枚であるため、360÷90＝「4度」が正確な動作角度となります。"
上級,19,"HAZETの1/2インチ「HiPer」ラチェット「916HP」にかけられる、メーカー保証上限の最大許容トルクは何Nmですか？","1000 Nm","400 Nm","600 Nm","1200 Nm",A,"916HPは超高強度ギヤと爪の最適設計により、DIN規格値を大幅に上回る「1000Nm（ニュートンメートル）」という驚異的な破断強度レベルを実現しています。"
上級,20,"HAZETのソケット等で、ボールロックのホールド力を高めるために、差込角の内側4面全てに凹み（リテイニングスロット）を設けた世界基準のインターフェース形状は何ですか？","DIN 3120 / ISO 1174","DIN 3113","DIN 6789","ISO 9001",A,"ソケットおよび駆動ハンドルの接続ジョイント規格である「DIN 3120」および「ISO 1174」に完全に適合しており、確実な脱落防止機能と互換性を提供します。"
上級,21,"HAZET独自の「Traction Profile（トラクションプロファイル）」は、主に「面接触」を行うため、接触圧力を均等に分散しますが、この際に発生する応力集中の度合いは従来の角接触に比べてどう変化しますか？","角部への応力集中がほぼゼロになり、全体の負荷が分散される","角部への応力集中が3倍に跳ね上がる","変化しないが、ボルトが滑るようになる","ボルトのネジ山に応力が集中するようになる",A,"Traction Profileは角部との接触を完全に回避するため、角への応力集中（ノッチ効果）が排除され、ボルトが角潰れするのを完全に防ぎます。"
上級,22,"HAZETの多くのソケットやレンチに使われているクロムバナジウム鋼（31CrV3など）において、「31」という数値は何の含有量を示していますか？","炭素含有量（約0.31%）","クロム含有量（約31%）","バナジウム含有量（約3.1%）","ニッケル含有量（約0.31%）",A,"DIN規格の鋼材記号「31CrV3」において、最初の数字は炭素（C）の平均含有量を100倍した値であり、「約0.31%」の炭素が含まれていることを示します。適切な焼き入れ硬度を得るために重要な割合です。"
上級,23,"HAZETのダブルオープンエンドレンチ「450N」で、めがねレンチのように15度の角度ではなく、スパナ口の向きが柄の軸線に対して何度の角度で傾いているのが標準ですか？","15度","0度","30度","45度",A,"標準的な両口スパナ（450Nなど）は、狭い場所でレンチを裏返して交互に使うことで、わずか30度の往復角度でボルトを締め回せるよう、口先が「15度」傾いて設計されています。"
上級,24,"HAZETが自動車メーカー専用に供給しているタイミングベルト交換用のカムシャフトアライメントツール等の、特殊SST（専用特殊工具）シリーズの基本型番は何番台が多いですか？","2588","900","5122","600N",A,"VW、アウディ、BMWなどのエンジン整備用タイミングツールやアライメントツールなどのSSTキットには、「2588」から始まる品番が数多く与えられています。"
上級,25,"HAZETが1913年に自動車整備用の特殊工具を研究開発するために購入した、同社史上初となる社用自動車のメーカーはどこですか？","Adler（アドラー）","Opel（オペル）","Mercedes（メルセデス）","Volkswagen（フォルクスワーゲン）",A,"HAZETは1913年、自動車整備におけるツール需要を研究するために最初の社用車として当時ドイツで大人気だった「Adler（アドラー）」社の自動車を購入し、これが自動車専用特殊工具開発の歴史の幕開けとなりました。"
上級,26,"HAZETのツールキャビネット最上位モデル「179NX」シリーズの「X」が意味する特徴は何ですか？","Extra（追加の拡張性とプレミアム仕様）","X-ray（レントゲン透過素材）","X-shaped（X字型フレーム構造）","Export（輸出専用モデル）",A,"「179NX」の「X」は「Extra」などのプレミアム・拡張仕様を示し、さらに重荷重やプロテクション機能などを強化したハイエンドラインです。"
上級,27,"HAZETの「SmartRail」にソケットを固定する「ツイストロック」は、回転方向としてはどちら側に回すとロックが解除されますか？","反時計回り（左）に軽く回す","時計回り（右）に強く押し回す","どちらに回しても解除されない","上に引っ張るだけで回す必要はない",A,"ソケットを「反時計回り（左）」に約15度〜30度程度軽く回すと、ツイストロックが外れて簡単にソケットを取り出せます。固定時は時計回りに回します。"
上級,28,"HAZETのトルクレンチ「SYSTEM 6000-1CT」の最小測定範囲をカバーする「6106-1CT」のトルク測定範囲はどれくらいですか？","1 – 6 Nm","2 – 10 Nm","5 – 60 Nm","10 – 100 Nm",A,"6000-1CTシリーズの最小最小モデル「6106-1CT」は、「1 – 6 Nm」の極めて精密なトルク管理範囲をカバーします。"
上級,29,"HAZETの3/8インチ差込用HiPerシリーズラチェットハンドル「8816HP」の、メーカーが保証する静的破壊限界トルク（限界耐荷重）の上限値は何Nmですか？","400 Nm","200 Nm","300 Nm","500 Nm",A,"3/8インチの「8816HP」は、DIN規格値（202Nm）を約2倍上回る「400Nm」の静的限界トルクに耐える超高強度設計が施されています。"
上級,30,"HAZETの精密測定機器であるトルクレンチについて、検査証に記載される適合基準規格である「DIN EN ISO 6789」の「Part 2」は何を規定していますか？","キャリブレーション（較正）および測定不確かさの算出手順","トルクレンチの単なる最大破断設計強度","検査工具を製造する工場の静電気対策","製品説明書のフォントと多言語翻訳要件",A,"DIN EN ISO 6789-2:2017は、トルク測定機の較正要件や、環境温度、作業誤差を含めた「測定不確かさ（Uncertainty）」の厳密な算出手順を定めた規格です。"
上級,31,"HAZETの強力ニッパー「1802-22」などで切断可能な「ピアノ線」の最大直径はどれくらいに設計されていますか？","最大 2.5 mm 前後","最大 5.0 mm 前後","最大 1.0 mm 前後","最大 10.0 mm 前後",A,"HAZETの大型強力ニッパー1802-22は、特殊熱処理された超硬刃により、非常に強度の高い「ピアノ線（引張強度約2000N/mm2）」でも「直径2.5mm」まで安全に切断できます。"
上級,32,"HAZETのウォーターポンププライヤー（760N-2等）に搭載されている、顎（ジョイント）の調整段数は何段ですか？","ディテント溝（押しボタン式）による多段調整（モデルにより約10〜15段）","調整不可の固定式","無段階スライド式","3段のみのピン式",A,"現代の760N-2等は、クイックアジャストボタンを備えており、ワークサイズに応じて顎の開き幅を「多段階（モデルによりますが約10〜15段程度）」で精密に調整できます。"
上級,33,"HAZETが自動車整備向けに供給しているプロ仕様のサスペンション交換用コイルスプリングコンプレッサー「4900-2A」セットは、アタッチメントの交換により概ね何種類の車種に対応できますか？","約50種類","約10種類","約25種類","約100種類",A,"「4900-2A」安全コイルスプリングコンプレッサーは、テンショニングジョー（顎）の組み合わせを切り替えることで、世界中の約50種類以上の車種の足回りに適合するプロ仕様の代表的なSSTです。"
上級,34,"HAZETの歴史において、1950年代にポルシェ356カブリオレなどの純正車載オプションとしてRoundboxを供給していた際、このRoundboxの蓋にポルシェのエンブレムはエンボス加工されていましたか？","いいえ、通常はエンボスなし（平滑）またはHAZET独自のTouristロゴのみ","はい、ポルシェクレストがゴールドで巨大に刻印されていた","いいえ、フォルクスワーゲンのロゴがそのまま使われていた","はい、ポルシェのアルファベット文字だけが浮き彫りになっていた",A,"ポルシェ356等の車載セットの多くは、VWのように蓋にVWマークがあるのではなく、フラットなドーム状の蓋か、またはHAZET独自の「Tourist」表記のものが供給されていました。"
上級,35,"HAZETの1/4インチ差込用HiPerシリーズラチェットハンドル「863HP」の、メーカーが保証する静的限界トルク（限界耐荷重）の上限値は何Nmですか？","120 Nm","62 Nm","90 Nm","150 Nm",A,"1/4インチの極小サイズ「863HP」は、DIN規格値（62Nm）を大きく超え、ギヤ飛びや破損を起こさない上限強度として「120Nm」の静的トルクに耐える設計となっています。"
上級,36,"HAZETが製造する「SmartRail」磁気ソケットホルダーのソケット差し込み角部に使用されているゴム製ガスケットは何のために取り付けられていますか？","ソケット装着時の適度なフリクション（滑り止め）とガタつき防止","ゴムから磁力をソケットに直接伝導するため","ソケットを電気的に完全に絶縁するため","ガスケットの摩擦熱でソケットを温めるため",A,"ツイストロック機構のスチール部にソケットを差し込んだ際、不快なガタつきや回転の遊びを抑え、しっかりと固定するために、高品質なエラストマー製Oリングが配置されています。"
上級,37,"HAZETの「SmartCase」の開閉に使用されている「マグネットファスナー」の磁力が、内部の工具（ドライバービットなど）を強く磁化しすぎないよう、ケース自体にどのような構造的配慮がありますか？","磁気をシールドする極薄スチールプレートがインナーに内蔵されている","磁石の配置場所をビットの先端から最も遠いヒンジ近辺に逃がしている","ビット自体がすべて非磁性のアルミニウムで作られている","磁気を逃がすためにケース全体をゴムで覆っている",A,"磁石が配置されている固定フラップ部には、ケース外側やツール側に不要な磁界が漏れないよう、また吸着力を高めるために、磁気シールド用の金属製バックプレートや物理的スペースを配した設計が行われています。"
上級,38,"HAZETのコンビネーションレンチ「600N」のめがね部（Traction Profile）の内径寸法公差は、どの規格で管理されていますか？","DIN 3113 および ISO 691 に基づく精密公差","JIS B 4632 公差","DIN 6789 測定機器公差","規格なしの工場独自設計のみ",A,"ソケットおよびレンチの口径サイズ（対辺寸法）の許容差を定める「ISO 691」および「DIN 3113」に基づき、ボルト頭に極めてタイトにフィットする超精密公差で加工されています。"
上級,39,"HAZETのラチェットハンドル「916SP」などの内部ギヤ爪（パウル）機構において、ギヤと爪が噛み合う「接触面積」を最大化する設計の目的は何ですか？","高トルク時に爪が破損するのを防ぎ、ギヤ飛びを防止するため","ラチェット回転時の抵抗をあえて重くするため","カチカチという空転音をうるさくするため","内部へのゴミの侵入を爪の面積で防ぐため",A,"ギヤの歯数が多い・少ないに関わらず、爪とギヤの接合面積を広く取る（複数歯で同時噛み合いさせる）ことで、荷重を広く分散させ、超高負荷時のギヤナメや破損を徹底的に防いでいます。"
上級,40,"HAZETが誇る1/2インチドライブの超コンパクト仕様超強力エアインパクトレンチ「9012M」の、メーカー公称の最大緩め（Loosening）トルクはいくらですか？","1,100 Nm","850 Nm","1,350 Nm","610 Nm",A,"9012Mは非常に短い超コンパクト設計（全長わずか92mm）でありながら、最大「1,100 Nm」の強力な緩めトルクを発生させ、狭い箇所のボルトを容易に緩めます。"
上級,41,"HAZETの1/2インチドライブ超強力インパクトレンチ「9012TT」が誇るツイン・ターボテクノロジーによる最大緩め（Loosening）トルクはいくらですか？","2,200 Nm","1,600 Nm","1,800 Nm","2,500 Nm",A,"フラッグシップモデル「9012TT」は、左右にツイン構造のエアモーターを配置する画期的な技術により、驚異の「2,200 Nm」の最大緩めトルクを達成しています。"
上級,42,"HAZETの「600N」などに見られる「梨地メッキ」の製造工程において、メッキ前に行われる表面にザラつきを与える加工は何ですか？","サンドブラスト（またはショットブラスト）加工","酸による化学エッチングのみ","粗いヤスリによる手作業での研磨","高速回転する砥石による研削",A,"鍛造後にバリ取りをした後、金属の細かなビーズや砂を高速で叩きつける「ショットブラスト（Sand/Shot blasting）」加工を施すことで、メッキ後に微細なザラつきのある滑りにくい梨地表面を作り出します。"
上級,43,"HAZETの「Plant 3（第3工場）」で静電粉体塗装されたツールキャビネットの塗装膜は、錆や傷、油脂に対してどのような性能を持っていますか？","非常に強固な耐溶剤性・耐衝撃性を持ち、長期間の剥がれを防ぐ","水性塗料なので、ガソリンや溶剤をかけると簡単に溶けて落ちる","非常に柔らかいゴムのようになり、クッション性能を提供するだけ","一切の防錆効果はなく、単に着色するためだけの役割である",A,"静電粉体塗装は、焼付処理によって非常に硬く柔軟な熱硬化性樹脂の皮膜を形成するため、ガソリンやブレーキクリーナー等の溶剤に強く、工具の衝突による剥がれや錆の発生を極めて高いレベルで防ぎます。"
上級,44,"HAZETの「179N」ツールキャビネットの引き出しのスライドレールに採用されている、引き出しの完全な取り出しとスムーズな走行を支えるベアリングの機構は何ですか？","ボールベアリング付きフルエクステンション（全段伸縮）ガイドレール","プラスチックの車輪がレールをすべるだけの間易式ローラー","ベアリングなしのスライドこすり合わせ式レール","油圧式ダンパーのみで滑らせるレール",A,"キャビネットの奥深くに入れた工具でも完全に取り出せるよう、高耐荷重の「ボールベアリング付きフルエクステンション（伸縮）レール」が採用されており、数十kgの工具を載せても非常に軽い力で引き出せます。"
上級,45,"HAZETの「179N」などのキャビネットに装備されているキャスターのうち、方向転換をスムーズにする首振り旋回式のキャスターには、どのようなブレーキ・ロック機構が標準装備されていますか？","車輪の回転と首振り旋回の両方を同時にロックする、トータルロック機構","車輪の回転のみを止める簡易ドラムブレーキ","首振りのみを固定し、車輪は回り続ける直進固定ロックのみ","ブレーキは一切装備されておらず、手歯止め（くさび）を置く仕様",A,"キャビネットが斜面や作業中に不意に動いたり回転したりしないよう、車輪の回転と同時にキャスター全体の旋回（首振り）も完全に固定する「トータルロック（Two-stage lock）」キャスターが装備されています。"
上級,46,"HAZETのプレセット型トルクレンチ「SYSTEM 5000-3CT」の調整ハンドルに刻まれている、目盛りの微調整を行うためのバーニア（副尺）付回転環のロック操作方法はどれですか？","グリップ中央のロックカラー（スリーブ）を押し下げる、またはスライダーをスライドさせる","グリップ後端のネジを手作業でコインを使って強く締め込む","トルクレンチのヘッドにあるダイヤルを反時計回りに回してロックする","設定値を合わせた後、何もロックしなくても自動で機械的に完全に固定される",A,"設定時の意図しない目盛りズレを防ぐため、グリップ後部のロックリングやブルーのスライダースイッチをスライドさせることで、回転ダイヤルを確実に固定（ロック）できます。"
上級,47,"HAZETが誇るHiPerラチェット「916HP」のギヤの噛み合い精度を高めるために採用されている、複数の精密歯を同時に密着させるシステムは何と呼ばれますか？","マルチトゥース・エンゲージメントシステム（マルチ爪設計）","シングルピン・スナップ機構","ボールロック式爪機構","無段階摩擦接触爪方式",A,"HiPerシリーズは、一つのパウル（爪）で複数のギヤ歯を同時にしっかりと捉える「マルチトゥース設計」により、90歯という細かさでありながら1000Nmという圧倒的な伝達トルク強度を達成しています。"
上級,48,"HAZETのソケットレンチセット（例えば900シリーズ）の金属製収納ボックスの蓋の内側に、昔からデザインされていることが多い特徴的なレイアウト表示は何ですか？","収納されている各工具の型番と配置を示す、部品配置スキマティック図","HAZET創業者ヘルマンの肖像画","工場の案内地図と最寄りの駅からアクセス方法","ドイツ全土の高速道路（アウトバーン）路線図",A,"蓋の裏側には、どのソケットやアクセサリーがどこに収まるかを一目で確認でき、欠品を発見しやすいように、部品の品番や配置を示したイラスト図解（配置スキマティック）が印刷されています。"
上級,49,"HAZETのスパナ類のメッキ処理に「ニッケル・クロムメッキ」が用いられる際、ニッケル下地とクロム仕上げ層の組み合わせの主な防錆効果は何ですか？","ニッケル層がピンホール（極小穴）を埋めて防錆し、極薄のクロム層が耐摩耗性と美麗な光沢を与える","クロムが錆びて犠牲防食を行い、ニッケルがそれを硬化させる","ニッケルのみが空気と反応して保護膜を作り、クロムは単に着色料に過ぎない","ニッケルとクロムが融解して合金を形成し、表面全体にプラスチックのような膜を作る",A,"メッキ加工では、下地にしっかりと厚みのある「ニッケル層」を電着させて金属表面の微細な孔を完全に塞ぐことで錆の侵入を防ぎ、その上に極薄で極めて硬い「クロム層」を重ねることで、キズ防止と艶消し（または光沢）の美観を完成させています。"
上級,50,"HAZETを象徴する工具箱、初代「Assistent 160」のコラム（支柱）は丸パイプでしたが、現在の「Assistent 166N」の支柱はどのような形状に進化していますか？","折りたたみと耐荷重性能を向上させる、肉厚のフラットなスチールプレート形状（ヒンジ付コラム）","完全に中空のアルミニウム製丸パイプのまま","カーボンファイバー製の伸縮ポール形状","木製の折りたたみラダー形状",A,"166Nでは、工具を載せた状態での剛性としなやかな折りたたみ動作を両立し、耐久性を最大限に高めるため、ヒンジ構造を備えた肉厚のフラットな「スチール製プレートコラム」が採用されています。"
